eps_file,png_preview_file,category_code,category_folder,tags,notes
shutterstock_2806735317.jpg,d_hub-roundtable-atrium_2806735317.png,D,D - Architecture diagrams flow networks,hub;roundtable;atrium;transport;space-planning,Open hub scene where structure and circulation dominate.
shutterstock_2806735653.jpg,d_streetscape-facade-kiosks_2806735653.png,D,D - Architecture diagrams flow networks,streetscape;facade;kiosks;urban-interface;architecture,Urban architectural scene with layered spatial wayfinding.
shutterstock_2806735259.jpg,b_preview_2806735259.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806735287.jpg,c_preview_2806735287.png,C,C - Technical systems UI data machines,,
shutterstock_2806735635.jpg,b_preview_2806735635.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806738215.jpg,b_preview_2806738215.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806738299.jpg,b_preview_2806738299.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806814883.jpg,d_preview_2806814883.png,D,D - Architecture diagrams flow networks,,
shutterstock_2806814951.jpg,d_preview_2806814951.png,D,D - Architecture diagrams flow networks,,
shutterstock_2806815323.jpg,d_preview_2806815323.png,D,D - Architecture diagrams flow networks,,
shutterstock_2806815371.jpg,b_preview_2806815371.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806816151.jpg,b_preview_2806816151.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806816499.jpg,c_preview_2806816499.png,C,C - Technical systems UI data machines,,
shutterstock_2806817305.jpg,c_preview_2806817305.png,C,C - Technical systems UI data machines,,
shutterstock_2806817909.jpg,c_preview_2806817909.png,C,C - Technical systems UI data machines,,
shutterstock_2806818445.jpg,b_preview_2806818445.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806818461.jpg,e_preview_2806818461.png,E,E - Neutral branding background textures,,
shutterstock_2806818795.jpg,e_preview_2806818795.png,E,E - Neutral branding background textures,,
shutterstock_2806818805.jpg,b_preview_2806818805.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806819355.jpg,b_preview_2806819355.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806819651.jpg,e_preview_2806819651.png,E,E - Neutral branding background textures,,
shutterstock_2806819683.jpg,c_preview_2806819683.png,C,C - Technical systems UI data machines,,
shutterstock_2806819853.jpg,b_preview_2806819853.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806819901.jpg,b_preview_2806819901.png,B,B - Knowledge thought conceptual structures,,
shutterstock_2806820047.jpg,e_preview_2806820047.png,E,E - Neutral branding background textures,,
shutterstock_2806820275.jpg,c_preview_2806820275.png,C,C - Technical systems UI data machines,,
shutterstock_2806820317.jpg,c_preview_2806820317.png,C,C - Technical systems UI data machines,,
shutterstock_2806729833.jpg,a_preview_2806729833.png,A,A - Darkness abstraction emergence,,
shutterstock_2806730221.jpg,a_preview_2806730221.png,A,A - Darkness abstraction emergence,,
shutterstock_2806730443.jpg,a_preview_2806730443.png,A,A - Darkness abstraction emergence,,
shutterstock_2806730457.jpg,a_preview_2806730457.png,A,A - Darkness abstraction emergence,,
